,School,Principal,Address,Phone,LAT,LON
55,Arts & Communication High School, Bjorn Paige, 11375 SW Center St  Beaverton OR 97005 (503) 356-3670, ,45.49451639999999,-122.7942162
56,Health & Science School, Andrew Cronk, 18640 NW Walker Road  Beaverton OR 97006, (503) 356-3630,45.5270641,-122.8698849
57,ISB High School, Jill O'Neill, 17771 SW Blanton Street  Beaverton OR 97078, (503) 356-3690,45.491601,-122.8600176
58,School of Science & Technology, Andrew Cronk, 18640 NW Walker Rd    Beaverton OR 97006 (503) 356-3630, ,45.5267256,-122.8694307
59,Automotive Technology (Aloha High School), Matt Casteel, 18550 SW Kinnaman Rd.  Beaverton OR 97078 (503) 356-2760, ,45.4847243,-122.8690143
60,Health Careers (Beaverton High), Anne Erwin, 13000 SW Second St.   Beaverton OR 97005 (503) 356-2854, ,45.48656949999999,-122.8116603
61,Terra Nova School of Science & Sustainability, Michael Crandall, 10351 NW Thompson Rd.   Portland OR 97229 (503) 356-3710, ,45.5456248,-122.7834335
62,Early College High School, Michael Crandall, 17705 NW Springville Rd.   Portland OR 97229 (971) 722-7473, ,45.5653158,-122.8562518
63,Merlo Station Community High School, Rachel Sip, 1841 SW Merlo Dr.   Beaverton OR 97003 (503) 356-3650, ,45.5061332,-122.8481904
64,Bridges Academy, Yoonwa Saecho, 18640 NW Walker Road Suite C  Beaverton OR 97006, (503) 356-3715,45.5270641,-122.8698849
65,Passages, Rachel Sip, 1841 SW Merlo Dr.   Beaverton OR 97003 (503) 259-5575, ,45.5061332,-122.8481904
66,Arco Iris Spanish Immersion School, Bob Kaminski, 13600 SW Allen Blvd  Beaverton OR 97005, (503) 473-0416,45.4757717,-122.8182213
67,Hope Chinese Charter School, Julie Rickman, 3500 SW 104th Avenue  Beaverton Oregon 97005 (971) 226-7500, ,45.4946694,-122.783813
